TIMESTAMPms	M202RAWIMUxacc	M202RAWIMUxmag	M202RAWIMUyacc	M202RAWIMUymag	M202RAWIMUzacc	M202RAWIMUzmag
294188	-576	-365	-1216	-53	-3200	-84
294288	-704	-330	-1728	50	-3008	-80
294388	-896	-292	-2240	176	-2624	-97
294488	-1024	-279	-2816	248	-1984	-124
294588	-1088	-240	-3328	365	-1280	-199
294688	-1152	-227	-3584	415	-384	-239
294788	-1088	-207	-3648	489	512	-339
294888	-1088	-211	-3584	513	1280	-388
294984	-960	-203	-3392	533	1984	-497
295084	-896	-203	-3072	544	2688	-581
295184	-832	-215	-2560	517	3200	-657
295284	-512	-220	-2048	500	3776	-695
295384	-320	-242	-1472	437	4032	-791
295488	-128	-260	-640	362	4288	-833
295588	-64	-288	0	311	4288	-890
295688	192	-320	704	188	4352	-938
295788	384	-347	1536	109	4160	-947
295888	576	-387	2368	-2	3776	-949
295984	704	-397	2752	-58	3456	-938
296088	896	-426	3264	-165	2880	-898
296188	960	-444	3648	-205	2240	-879
296288	1024	-467	3968	-303	1664	-813
296388	1088	-474	4096	-339	960	-778
296488	1024	-487	4096	-427	256	-718
296588	896	-494	4032	-416	-384	-655
296688	832	-497	3968	-440	-896	-570
296788	832	-494	3712	-446	-1472	-524
296888	704	-493	3264	-443	-2048	-425
296984	512	-485	2944	-429	-2624	-383
297088	384	-471	2368	-396	-2944	-313
297188	256	-462	1984	-372	-3136	-268
297288	192	-461	1792	-353	-3392	-249
297388	64	-447	1216	-325	-3328	-214
297488	0	-443	1152	-314	-3520	-204
297588	-64	-436	896	-282	-3584	-178
297688	-128	-427	704	-302	-3456	-195
297788	-64	-430	640	-274	-3648	-175
